t,Open,High,Low,Close
2026-08-13 01:20:00+00:00,63520.0,63541.0,63418.0,63431.0
2026-08-13 01:25:00+00:00,63425.0,63436.0,63386.0,63401.0
2026-08-13 01:30:00+00:00,63400.0,63464.0,63399.0,63460.0
2026-08-13 01:35:00+00:00,63460.0,63527.0,63460.0,63527.0
2026-08-13 01:40:00+00:00,63526.0,63527.0,63397.0,63398.0
2026-08-13 01:45:00+00:00,63397.0,63437.0,63364.0,63426.0
2026-08-13 01:50:00+00:00,63425.0,63472.0,63409.0,63471.0
2026-08-13 01:55:00+00:00,63472.0,63499.0,63433.0,63434.0
2026-08-13 02:00:00+00:00,63434.0,63455.0,63420.0,63421.0
2026-08-13 02:05:00+00:00,63420.0,63452.0,63400.0,63451.0
2026-08-13 02:10:00+00:00,63452.0,63453.0,63420.0,63443.0
2026-08-13 02:15:00+00:00,63443.0,63443.0,63420.0,63428.0
2026-08-13 02:20:00+00:00,63428.0,63441.0,63407.0,63424.0
2026-08-13 02:25:00+00:00,63424.0,63462.0,63423.0,63447.0
2026-08-13 02:30:00+00:00,63447.0,63447.0,63365.0,63402.0
2026-08-13 02:35:00+00:00,63401.0,63429.0,63395.0,63412.0
2026-08-13 02:40:00+00:00,63412.0,63471.0,63397.0,63471.0
2026-08-13 02:45:00+00:00,63472.0,63510.0,63455.0,63510.0
2026-08-13 02:50:00+00:00,63510.0,63548.0,63510.0,63546.0
2026-08-13 02:55:00+00:00,63547.0,63570.0,63521.0,63528.0
2026-08-13 03:00:00+00:00,63528.0,63545.0,63510.0,63523.0
2026-08-13 03:05:00+00:00,63524.0,63526.0,63493.0,63493.0
2026-08-13 03:10:00+00:00,63493.0,63561.0,63490.0,63556.0
2026-08-13 03:15:00+00:00,63557.0,63589.0,63553.0,63565.0
2026-08-13 03:20:00+00:00,63566.0,63604.0,63548.0,63599.0
2026-08-13 03:25:00+00:00,63599.0,63608.0,63546.0,63547.0
2026-08-13 03:30:00+00:00,63547.0,63589.0,63538.0,63589.0
2026-08-13 03:35:00+00:00,63589.0,63608.0,63573.0,63575.0
2026-08-13 03:40:00+00:00,63577.0,63590.0,63553.0,63554.0
2026-08-13 03:45:00+00:00,63554.0,63638.0,63553.0,63609.0
2026-08-13 03:50:00+00:00,63608.0,63658.0,63601.0,63634.0
2026-08-13 03:55:00+00:00,63633.0,63634.0,63621.0,63622.0
2026-08-13 04:00:00+00:00,63621.0,63622.0,63616.0,63616.0
2026-08-13 04:05:00+00:00,63617.0,63629.0,63615.0,63615.0
2026-08-13 04:10:00+00:00,63615.0,63654.0,63600.0,63654.0
2026-08-13 04:15:00+00:00,63653.0,63653.0,63603.0,63603.0
2026-08-13 04:20:00+00:00,63603.0,63603.0,63577.0,63580.0
2026-08-13 04:25:00+00:00,63580.0,63586.0,63565.0,63573.0
2026-08-13 04:30:00+00:00,63572.0,63597.0,63572.0,63597.0
2026-08-13 04:35:00+00:00,63596.0,63689.0,63596.0,63659.0
2026-08-13 04:40:00+00:00,63659.0,63687.0,63659.0,63678.0
2026-08-13 04:45:00+00:00,63677.0,63750.0,63677.0,63701.0
2026-08-13 04:50:00+00:00,63702.0,63724.0,63693.0,63714.0
2026-08-13 04:55:00+00:00,63714.0,63728.0,63664.0,63664.0
2026-08-13 05:00:00+00:00,63664.0,63724.0,63647.0,63724.0
2026-08-13 05:05:00+00:00,63723.0,63849.0,63706.0,63805.0
2026-08-13 05:10:00+00:00,63805.0,63860.0,63805.0,63855.0
2026-08-13 05:15:00+00:00,63856.0,63978.0,63855.0,63898.0
2026-08-13 05:20:00+00:00,63899.0,63950.0,63880.0,63932.0
2026-08-13 05:25:00+00:00,63931.0,63932.0,63891.0,63912.0
2026-08-13 05:30:00+00:00,63912.0,63922.0,63876.0,63895.0
2026-08-13 05:35:00+00:00,63895.0,63912.0,63876.0,63912.0
2026-08-13 05:40:00+00:00,63911.0,63915.0,63893.0,63902.0
2026-08-13 05:45:00+00:00,63901.0,63903.0,63860.0,63865.0
2026-08-13 05:50:00+00:00,63864.0,63873.0,63864.0,63873.0
2026-08-13 05:55:00+00:00,63872.0,63873.0,63849.0,63850.0
2026-08-13 06:00:00+00:00,63849.0,63852.0,63798.0,63811.0
2026-08-13 06:05:00+00:00,63810.0,63827.0,63790.0,63795.0
2026-08-13 06:10:00+00:00,63794.0,63812.0,63794.0,63810.0
2026-08-13 06:15:00+00:00,63810.0,63813.0,63786.0,63813.0
2026-08-13 06:20:00+00:00,63813.0,63817.0,63798.0,63800.0
2026-08-13 06:25:00+00:00,63799.0,63800.0,63785.0,63797.0
2026-08-13 06:30:00+00:00,63796.0,63797.0,63755.0,63756.0
2026-08-13 06:35:00+00:00,63755.0,63770.0,63743.0,63743.0
2026-08-13 06:40:00+00:00,63743.0,63746.0,63730.0,63731.0
2026-08-13 06:45:00+00:00,63730.0,63786.0,63726.0,63772.0
2026-08-13 06:50:00+00:00,63771.0,63884.0,63771.0,63881.0
2026-08-13 06:55:00+00:00,63880.0,63911.0,63861.0,63911.0
2026-08-13 07:00:00+00:00,63910.0,63917.0,63841.0,63841.0
2026-08-13 07:05:00+00:00,63841.0,63862.0,63841.0,63850.0
2026-08-13 07:10:00+00:00,63850.0,63870.0,63843.0,63843.0
2026-08-13 07:15:00+00:00,63843.0,63850.0,63843.0,63843.0
2026-08-13 07:20:00+00:00,63843.0,63884.0,63830.0,63884.0
2026-08-13 07:25:00+00:00,63883.0,63884.0,63861.0,63868.0
2026-08-13 07:30:00+00:00,63868.0,63871.0,63861.0,63861.0
2026-08-13 07:35:00+00:00,63861.0,63862.0,63849.0,63849.0
2026-08-13 07:40:00+00:00,63849.0,63853.0,63843.0,63843.0
2026-08-13 07:45:00+00:00,63843.0,63844.0,63824.0,63824.0
2026-08-13 07:50:00+00:00,63824.0,63825.0,63820.0,63825.0
2026-08-13 07:55:00+00:00,63824.0,63832.0,63824.0,63831.0
2026-08-13 08:00:00+00:00,63831.0,63889.0,63831.0,63870.0
2026-08-13 08:05:00+00:00,63870.0,63876.0,63838.0,63839.0
2026-08-13 08:10:00+00:00,63840.0,63840.0,63802.0,63802.0
2026-08-13 08:15:00+00:00,63802.0,63805.0,63767.0,63769.0
2026-08-13 08:20:00+00:00,63769.0,63786.0,63764.0,63770.0
2026-08-13 08:25:00+00:00,63769.0,63770.0,63755.0,63755.0
2026-08-13 08:30:00+00:00,63756.0,63766.0,63744.0,63744.0
2026-08-13 08:35:00+00:00,63744.0,63764.0,63744.0,63763.0
2026-08-13 08:40:00+00:00,63764.0,63770.0,63760.0,63769.0
2026-08-13 08:45:00+00:00,63769.0,63770.0,63728.0,63740.0
2026-08-13 08:50:00+00:00,63739.0,63740.0,63711.0,63711.0
2026-08-13 08:55:00+00:00,63711.0,63732.0,63711.0,63731.0
2026-08-13 09:00:00+00:00,63732.0,63737.0,63683.0,63692.0
2026-08-13 09:05:00+00:00,63693.0,63693.0,63644.0,63644.0
2026-08-13 09:10:00+00:00,63645.0,63645.0,63589.0,63590.0
2026-08-13 09:15:00+00:00,63589.0,63640.0,63560.0,63639.0
2026-08-13 09:20:00+00:00,63640.0,63687.0,63637.0,63677.0
2026-08-13 09:25:00+00:00,63677.0,63682.0,63627.0,63628.0
2026-08-13 09:30:00+00:00,63628.0,63675.0,63625.0,63674.0
2026-08-13 09:35:00+00:00,63674.0,63675.0,63643.0,63651.0
2026-08-13 09:40:00+00:00,63650.0,63673.0,63643.0,63672.0
2026-08-13 09:45:00+00:00,63673.0,63698.0,63672.0,63694.0
2026-08-13 09:50:00+00:00,63693.0,63743.0,63693.0,63736.0
2026-08-13 09:55:00+00:00,63736.0,63751.0,63736.0,63751.0
2026-08-13 10:00:00+00:00,63751.0,63789.0,63648.0,63664.0
2026-08-13 10:05:00+00:00,63664.0,63720.0,63594.0,63594.0
2026-08-13 10:10:00+00:00,63594.0,63620.0,63586.0,63589.0
2026-08-13 10:15:00+00:00,63590.0,63650.0,63589.0,63632.0
2026-08-13 10:20:00+00:00,63632.0,63632.0,63595.0,63595.0
2026-08-13 10:25:00+00:00,63595.0,63613.0,63595.0,63596.0
2026-08-13 10:30:00+00:00,63595.0,63596.0,63560.0,63560.0
2026-08-13 10:35:00+00:00,63561.0,63586.0,63560.0,63585.0
2026-08-13 10:40:00+00:00,63586.0,63620.0,63574.0,63615.0
2026-08-13 10:45:00+00:00,63615.0,63618.0,63614.0,63618.0
2026-08-13 10:50:00+00:00,63617.0,63630.0,63617.0,63622.0
2026-08-13 10:55:00+00:00,63622.0,63625.0,63620.0,63625.0
2026-08-13 11:00:00+00:00,63625.0,63636.0,63624.0,63627.0
2026-08-13 11:05:00+00:00,63626.0,63627.0,63592.0,63592.0
2026-08-13 11:10:00+00:00,63592.0,63593.0,63588.0,63593.0
2026-08-13 11:15:00+00:00,63592.0,63602.0,63592.0,63595.0
2026-08-13 11:20:00+00:00,63595.0,63596.0,63454.0,63465.0
2026-08-13 11:25:00+00:00,63464.0,63471.0,63410.0,63411.0
2026-08-13 11:30:00+00:00,63411.0,63430.0,63353.0,63379.0
2026-08-13 11:35:00+00:00,63379.0,63457.0,63318.0,63445.0
2026-08-13 11:40:00+00:00,63445.0,63446.0,63378.0,63436.0
2026-08-13 11:45:00+00:00,63437.0,63473.0,63426.0,63463.0
2026-08-13 11:50:00+00:00,63463.0,63463.0,63436.0,63439.0
2026-08-13 11:55:00+00:00,63439.0,63462.0,63431.0,63462.0
